mention_uid,suggestion_subtype,addressing_mode,refinement_confidence,refinement_rationale
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702868830,Suggestion-Invocation,Talking-to-AI,,
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702944848,Suggestion-StepInstruction,Talking-to-AI,1,
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702977929,Suggestion-StepInstruction,Talking-to-AI,1.0,
Alan-Jowett/CoPilot-For-Consensus#659:issue_comment:3702937925,Suggestion-Invocation,Talking-to-AI,1,
Alan-Jowett/CoPilot-For-Consensus#659:issue_comment:3702989133,Suggestion-StepInstruction,Talking-to-AI,1,
Alan-Jowett/CoPilot-For-Consensus#661:issue_comment:3703001909,Suggestion-Invocation,Talking-to-AI,1.0,
Alan-Jowett/CoPilot-For-Consensus#664:issue_comment:3702938547,Suggestion-Invocation,Talking-to-AI,1.0,
Alan-Jowett/CoPilot-For-Consensus#665:issue_comment:3702938715,Suggestion-Invocation,Talking-to-AI,,
Alan-Jowett/CoPilot-For-Consensus#667:issue_comment:3702939023,Suggestion-Invocation,Talking-to-AI,1,
Alan-Jowett/CoPilot-For-Consensus#667:issue_comment:3703007239,Suggestion-Invocation,Talking-to-AI,1,
Aries-Serpent/_codex_#2672:issue_comment:3702758664,Suggestion-StepInstruction,Talking-about-AI,0.8,
Aries-Serpent/_codex_#2672:issue_comment:3702772491,Suggestion-StepInstruction,Talking-to-AI,1.0,
Aries-Serpent/_codex_#2672:issue_comment:3702931334,Suggestion-TaskDelegation,Talking-to-AI,0.9,
Aries-Serpent/_codex_#2672:issue_comment:3702957188,Suggestion-StepInstruction,Talking-to-AI,0.8,
Aries-Serpent/_codex_#2672:issue_comment:3702962769,Suggestion-Invocation,Talking-to-AI,1.0,
Aries-Serpent/_codex_#2672:issue_comment:3702987683,Suggestion-Invocation,Talking-to-AI,1.0,
Aries-Serpent/_codex_#2672:issue_comment:3702995681,Suggestion-StepInstruction,Talking-to-AI,0.9,
Aries-Serpent/_codex_#2672:issue_comment:3703008879,Suggestion-StepInstruction,Talking-to-AI,1,
ArtemFilin1990/Baza#56:issue_comment:3703007480,Suggestion-Invocation,Talking-to-AI,,
ArtemFilin1990/Baza#56:issue_comment:3703035197,Suggestion-Invocation,Talking-to-AI,1.0,
ArtisanClarinets/crispy-fishstick#41:issue_comment:3703036095,Suggestion-Invocation,Talking-to-AI,1.0,
BryceWayne/MemoryStore#12:issue_comment:3703055298,Suggestion-Invocation,Talking-to-AI,1.0,
BryceWayne/MemoryStore#12:issue_comment:3703064819,Suggestion-Invocation,Talking-to-AI,1.0,
CodeHalwell/Agent-Gantry#55:issue_comment:3703000282,Suggestion-Invocation,Talking-to-AI,1.0,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3701948753,Suggestion-TaskDelegation,Talking-to-AI,0.8,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3701990235,Suggestion-Invocation,Talking-to-AI,0.8,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3702647913,Suggestion-Invocation,Talking-to-AI,1.0,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3702945954,Suggestion-TaskDelegation,Talking-to-AI,1,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3702972735,Suggestion-Invocation,Talking-to-AI,1,
DaveSkender/Stock.Indicators#1825:issue_comment:3703048400,Suggestion-Invocation,Talking-to-AI,high,
Entze/frost#37:review_comment:2655920479,Suggestion-Invocation,Talking-to-AI,1,
Entze/frost#37:review_comment:2655921135,Suggestion-Invocation,Talking-to-AI,1,
Entze/frost#37:review_comment:2655921678,Suggestion-Invocation,Talking-to-AI,1,
Entze/frost#37:review_comment:2655922779,Suggestion-Invocation,Talking-to-AI,high,
Entze/frost#37:review:3621478300,Suggestion-Invocation,Talking-to-AI,,
FishWoWater/Open3DStudio#2:issue_comment:3703684374,Suggestion-TaskDelegation,Talking-to-AI,,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702700055,Suggestion-Invocation,Talking-to-AI,1,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702726499,Suggestion-Invocation,Talking-to-AI,1,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702731035,Suggestion-Invocation,Talking-to-AI,1.0,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702742660,Suggestion-Invocation,Talking-to-AI,0.9,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702744959,Suggestion-Invocation,Talking-to-AI,1.0,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702748352,Suggestion-Invocation,Talking-to-AI,1.0,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702754479,Suggestion-Invocation,Talking-to-AI,1.0,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702756378,Suggestion-Invocation,Talking-to-AI,,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702763594,Suggestion-Invocation,Talking-to-AI,1,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702768384,Suggestion-Invocation,Talking-to-AI,0.9,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702777168,Suggestion-Invocation,Talking-to-AI,0.9,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702778467,Suggestion-Invocation,Talking-to-AI,,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702823568,Suggestion-Invocation,Talking-to-AI,high,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702827119,Suggestion-Invocation,Talking-to-AI,1,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702831047,Suggestion-Invocation,Talking-to-AI,1.0,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702902165,Suggestion-Invocation,Talking-to-AI,1.0,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703051902,Suggestion-Invocation,Talking-to-AI,1,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703086924,Suggestion-Invocation,Talking-to-AI,0.8,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703097572,Suggestion-Invocation,Talking-to-AI,1.0,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703106150,Suggestion-Invocation,Talking-to-AI,,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703139523,Suggestion-TaskDelegation,Talking-to-AI,1,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703154118,Suggestion-Invocation,Talking-to-AI,1,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703184328,Suggestion-Invocation,Talking-to-AI,1.0,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703188894,Suggestion-Invocation,Talking-to-AI,1.0,
GregorGullwi/FlashCpp#338:issue_comment:3702934606,Suggestion-Invocation,Talking-to-AI,1,
GregorGullwi/FlashCpp#338:issue_comment:3702974795,Suggestion-Invocation,Talking-to-AI,,
Hack23/blacktrigram#1056:issue_comment:3702852616,Suggestion-Invocation,Talking-to-AI,1.0,
Hack23/blacktrigram#1056:issue_comment:3702907985,Suggestion-Invocation,Talking-to-AI,1,
Hack23/blacktrigram#1056:issue_comment:3702934458,Suggestion-Invocation,Talking-to-AI,1,
Hack23/blacktrigram#1056:issue_comment:3702958567,Suggestion-Invocation,Talking-to-AI,high,
Hack23/blacktrigram#1056:issue_comment:3702996201,Suggestion-Invocation,Talking-to-AI,1.0,
Hack23/blacktrigram#1056:issue_comment:3703053516,Suggestion-Invocation,Talking-to-AI,1,
Hack23/cia#8153:issue_comment:3698041175,Suggestion-Invocation,Talking-to-AI,,
Hack23/cia#8153:issue_comment:3698107304,Suggestion-Invocation,Talking-to-AI,1.0,
Hack23/cia#8153:issue_comment:3698153668,Suggestion-Invocation,Talking-to-AI,0.8,
Hack23/cia#8153:issue_comment:3702206053,Suggestion-Invocation,Talking-to-AI,1,
Hack23/cia#8153:issue_comment:3702280094,Suggestion-Invocation,Talking-to-AI,1,
Hack23/cia#8153:issue_comment:3702483423,Suggestion-Invocation,Talking-to-AI,,
