repo_name,pr_number,review_id,user_login,submitted_at,state,body,contains_ai_reference
ismaelloveexcel/terror-in-dubai,7,3621622589,ismaelloveexcel,2026-01-01T05:55:07Z,APPROVED,,False
ismaelloveexcel/terror-in-dubai,7,3621642669,ismaelloveexcel,2026-01-01T07:04:00Z,APPROVED,,False
PriorityLexusVB/AFTERMARKET-MENU,107,3621487703,copilot-pull-request-reviewer[bot],2025-12-31T22:35:42Z,COMMENTED,"## Pull request overview

This PR implements a comprehensive refactoring of the package management system, introducing a customer-facing 4-column iPad layout, de-duplicating admin workflows, adding a data-driven recommended badge system, and providing a safe template migration tool.

**Key changes:**
- Customer UI now displays packages in a responsive 4-column grid (Elite → Platinum → Gold → Popular Add-ons) with a sticky bottom summary bar for iPad optimization
- Admin workflows consolidated: Product Hub for editing/publishing, Package Features for ordering only, and A La Carte simplified to two lanes (Featured/Published)
- Strict column mapping enforced: Gold=Column 1, Elite=Column 2, Platinum=Column 3, with consistent display order Elite → Platinum → Gold everywhere

### Reviewed changes

Copilot reviewed 21 out of 21 changed files in this pull request and generated 1 comment.

<details>
<summary>Show a summary per file</summary>

| File | Description |
| ---- | ----------- |
| `src/utils/packageOrder.ts` | New utility for deterministic package sorting (Elite → Platinum → Gold) |
| `src/utils/packageOrder.test.ts` | Test coverage for package ordering utility |
| `src/utils/alaCarte.ts` | Updated column ordering to match new customer-facing display order |
| `src/utils/alaCarte.test.ts` | Updated tests to reflect Elite → Platinum → Gold ordering |
| `src/utils/featureOrdering.ts` | Updated column mapping comments to reflect Gold=1, Elite=2, Platinum=3 |
| `src/utils/featureOrdering.test.ts` | Comprehensive test updates for new column assignments |
| `src/mock.ts` | Updated mock data column assignments and documentation |
| `src/components/SelectionDrawer.tsx` | Converted to sticky bottom bar with safe-area padding and increased z-index |
| `src/components/SelectionDrawer.test.tsx` | Updated test expectations for z-index change |
| `src/components/PackageSelector.tsx` | Added responsive grid classes and test data attribute |
| `src/components/PackageSelector.test.tsx` | New test validating 4-column responsive grid layout |
| `src/components/CompareModal.tsx` | Changed badge text from ""Most Popular"" to ""Recommended"" |
| `src/components/ProductHub.tsx` | Updated column labels and radio ordering to match new mapping |
| `src/components/ProductHub.test.tsx` | Updated test expectations for new column assignments |
| `src/components/AdminPanel.tsx` | Added recommended package selector, connector UI improvements (hidden on last item), and updated column display order |
| `src/components/AdminPanel.test.tsx` | Added test for recommended package write functionality |
| `src/components/AlaCarteAdminPanel.tsx` | Removed tier column filtering, simplified to Featured/Published lanes |
| `src/components/AlaCarteAdminPanel.test.tsx` | Updated test for new toggle label |
| `src/App.tsx` | Integrated sortPackagesForDisplay utility and added bottom padding for sticky bar |
| `scripts/migrate/apply-package-template.ts` | New migration script with dry-run safety for applying package templates |
| `package.json` | Added new migration script command |
</details>






---

💡 <a href=""/PriorityLexusVB/AFTERMARKET-MENU/new/main/.github/instructions?filename=*.instructions.md"" class=""Link--inTextBlock"" target=""_blank"" rel=""noopener noreferrer"">Add Copilot custom instructions</a> for smarter, more guided reviews. <a href=""https://docs.github.com/en/copilot/customizing-copilot/adding-repository-custom-instructions-for-github-copilot"" class=""Link--inTextBlock"" target=""_blank"" rel=""noopener noreferrer"">Learn how to get started</a>.",True
PriorityLexusVB/AFTERMARKET-MENU,107,3621504526,copilot-swe-agent[bot],2025-12-31T23:00:27Z,COMMENTED,,False
karlokarate/FishIT-Player,545,3621537753,copilot-pull-request-reviewer[bot],2025-12-31T23:51:10Z,COMMENTED,"## Pull request overview

This PR adds HLS support for Xtream playback with an automatic fallback to TS (MPEG-TS) when the HLS module is unavailable at runtime. The implementation uses reflection-based capability detection to determine HLS availability and transparently selects the appropriate streaming format based on both server capabilities and runtime environment.

### Key Changes
- Added `media3-exoplayer-hls` dependency for native HLS support
- Implemented `HlsCapabilityDetector` for runtime HLS module detection via reflection
- Enhanced format selection logic in `selectXtreamOutputExt` to automatically fallback to TS when HLS is unavailable

### Reviewed changes

Copilot reviewed 6 out of 6 changed files in this pull request and generated no comments.

<details>
<summary>Show a summary per file</summary>

| File | Description |
| ---- | ----------- |
| `player/internal/build.gradle.kts` | Added Media3 HLS dependency (1.8.0) aligned with existing Media3 version |
| `player/internal/src/main/java/.../InternalPlayerSession.kt` | Enhanced logging to include MIME type information for debugging |
| `playback/xtream/src/main/java/.../HlsCapabilityDetector.kt` | New utility for reflection-based HLS module detection with lazy caching |
| `playback/xtream/src/main/java/.../XtreamPlaybackSourceFactoryImpl.kt` | Updated format selection with HLS fallback logic, consolidated URL building, refactored MIME type determination |
| `playback/xtream/src/test/java/.../XtreamPlaybackHardeningTest.kt` | Updated 6 existing tests to pass `hlsAvailable` parameter |
| `playback/xtream/src/test/java/.../HlsCapabilityFallbackTest.kt` | Added 18 comprehensive tests covering HLS fallback scenarios |
</details>




",True
karlokarate/FishIT-Player,545,3621537968,chatgpt-codex-connector[bot],2025-12-31T23:51:58Z,COMMENTED,"
### 💡 Codex Review

Here are some automated review suggestions for this pull request.
    

<details> <summary>ℹ️ About Codex in GitHub</summary>
<br/>

[Your team has set up Codex to review pull requests in this repo](http://chatgpt.com/codex/settings/general). Reviews are triggered when you
- Open a pull request for review
- Mark a draft as ready
- Comment ""@codex review"".

If Codex has suggestions, it will comment; otherwise it will react with 👍.




Codex can also answer questions or update the PR. Try commenting ""@codex address that feedback"".
            
</details>",True
dotnet/runtime,122805,3621387472,copilot-pull-request-reviewer[bot],2025-12-31T20:07:03Z,COMMENTED,"## Pull request overview

This PR fixes a buffer sizing bug in `FromBase64Transform` where partial blocks followed by power-of-two sized inputs could cause an `ArgumentException` due to undersized buffer rental from `CryptoPool`.

**Key Changes:**
- Fixed `CryptoPool.Rent()` calls to use `bytesToTransform` (retained + new bytes) instead of `inputCount` (new bytes only)
- Added comprehensive tests to prevent regression of the specific bug scenario

### Reviewed changes

Copilot reviewed 2 out of 2 changed files in this pull request and generated no comments.

| File | Description |
| ---- | ----------- |
| `src/libraries/System.Security.Cryptography/src/System/Security/Cryptography/Base64Transforms.cs` | Fixed buffer sizing in `TransformBlock` and `TransformFinalBlock` by changing `CryptoPool.Rent(inputCount)` to `CryptoPool.Rent(bytesToTransform)` in both methods |
| `src/libraries/System.Security.Cryptography/tests/Base64TransformsTests.cs` | Added two regression tests covering `TransformBlock` and `TransformFinalBlock` with partial blocks followed by power-of-two inputs |



",True
dotnet/runtime,122805,3623367255,vcsjones,2026-01-02T15:41:21Z,COMMENTED,,False
dotnet/runtime,122805,3623445643,copilot-swe-agent[bot],2026-01-02T16:07:50Z,COMMENTED,,False
dotnet/runtime,122805,3623988280,vcsjones,2026-01-02T22:33:32Z,APPROVED,,False
dotnet/runtime,122805,3624381373,stephentoub,2026-01-03T15:50:48Z,APPROVED,,False
vadnala/GTADetroit,12,3621551029,vadnala,2026-01-01T00:33:47Z,APPROVED,,False
ai-dynamo/dynamo,5123,3621538539,PeaBrane,2025-12-31T23:53:53Z,APPROVED,,False
