mention_uid,uptake_label,uptake_secondary_label,uptake_confidence,uptake_rationale
jaredlewiswechs/Newton-api#5:issue_comment:3703020867,positive_uptake,merged,high,
andersaamodt/wizardry#769:issue_comment:3702939502,positive_uptake,,1.0,
jason-shprintz/dynastiest-league#29:review_comment:2655999507,positive_uptake,no_secondary_label,0.9,
ranjitp16/ranjitp16.github.io#1:issue_comment:3702990636,positive_uptake,,0.8,
totem-technologies/totem-server#192:issue_comment:3702981917,positive_uptake,merged,1.0,
SharpMUSH/SharpMUSH#326:issue_comment:3703053311,positive_uptake,,1.0,
ranjitp16/ranjitp16.github.io#2:issue_comment:3703034931,positive_uptake,,0.8,
bdossantos/bds.home.arpa#146:issue_comment:3702959980,positive_uptake,,1,
JosunLP/api-faker#2:issue_comment:3702981044,positive_uptake,continued_delegation,0.9,
JosunLP/api-faker#2:issue_comment:3703056116,positive_uptake,,1,
JosunLP/api-faker#2:issue_comment:3703177771,positive_uptake,,1.0,
JosunLP/api-faker#2:issue_comment:3703322126,positive_uptake,,1.0,
franznoel/pang-daily-planner#38:issue_comment:3702969725,corrective_critique,negative_uptake,0.8,
daisytuner/sdfglib#423:issue_comment:3702794918,positive_uptake,continued_delegation,0.9,
daisytuner/sdfglib#423:issue_comment:3702863889,positive_uptake,continued_delegation,0.8,
daisytuner/sdfglib#423:issue_comment:3702940966,continued_delegation,positive_uptake,0.8,
pradeepmouli/homebridge-rabbitair#10:issue_comment:3702922744,no_clear_uptake,,0.5,
Alan-Jowett/CoPilot-For-Consensus#664:issue_comment:3702938547,positive_uptake,,1.0,
Alan-Jowett/CoPilot-For-Consensus#665:issue_comment:3702938715,positive_uptake,,1.0,
Mittenzx/Adastrea#395:issue_comment:3702939147,positive_uptake,,high,
githubnext/gh-aw#8355:issue_comment:3702943097,positive_uptake,no_additional_info_available,1,
Open-J-Proxy/ojp#196:issue_comment:3697661772,positive_uptake,continued_delegation,0.9,
Open-J-Proxy/ojp#196:issue_comment:3697681553,positive_uptake,continued_delegation,0.8,
Open-J-Proxy/ojp#196:issue_comment:3698631927,continued_delegation,positive_uptake,0.9,
Open-J-Proxy/ojp#196:issue_comment:3698691687,corrective_critique,no_clear_uptake,0.8,
Open-J-Proxy/ojp#196:issue_comment:3698715333,corrective_critique,continued_delegation,0.9,
Open-J-Proxy/ojp#196:issue_comment:3698761171,corrective_critique,positive_uptake,0.8,
Open-J-Proxy/ojp#196:issue_comment:3698785077,corrective_critique,negative,0.8,
Open-J-Proxy/ojp#196:issue_comment:3698819428,corrective_critique,,1.0,
