mention_uid,repo_name,pr_number,mention_id,user_login,speaker_role,mention_location,mention_time,timing_phase,mention_order_label,mention_body,suggestion_subtype,addressing_mode,refinement_confidence,refinement_rationale
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702868830,Alan-Jowett/CoPilot-For-Consensus,657,3702868830,Alan-Jowett,other_commenter,issue_comment,2025-12-31T20:36:31Z,late,first,@copilot there were some changes made in main. Please review those and see if they affect this PR,,,,
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702944848,Alan-Jowett/CoPilot-For-Consensus,657,3702944848,Alan-Jowett,other_commenter,issue_comment,2025-12-31T21:50:51Z,late,middle,@copilot address and reply to each comment with what you fixed.,,,,
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702977929,Alan-Jowett/CoPilot-For-Consensus,657,3702977929,Alan-Jowett,other_commenter,issue_comment,2025-12-31T22:29:16Z,late,middle,@copilot address and reply to each comment with what you fixed.,,,,
Alan-Jowett/CoPilot-For-Consensus#659:issue_comment:3702937925,Alan-Jowett/CoPilot-For-Consensus,659,3702937925,Alan-Jowett,other_commenter,issue_comment,2025-12-31T21:42:56Z,late,first,@copilot there were some changes made in main. Please review those and see if they affect this PR,,,,
Alan-Jowett/CoPilot-For-Consensus#659:issue_comment:3702989133,Alan-Jowett/CoPilot-For-Consensus,659,3702989133,Alan-Jowett,other_commenter,issue_comment,2025-12-31T22:45:08Z,late,middle,@copilot address and reply to each comment with what you fixed.,,,,
Alan-Jowett/CoPilot-For-Consensus#661:issue_comment:3703001909,Alan-Jowett/CoPilot-For-Consensus,661,3703001909,Alan-Jowett,other_commenter,issue_comment,2025-12-31T23:00:05Z,late,middle,@copilot address and reply to each comment with what you fixed,,,,
Alan-Jowett/CoPilot-For-Consensus#664:issue_comment:3702938547,Alan-Jowett/CoPilot-For-Consensus,664,3702938547,Alan-Jowett,other_commenter,issue_comment,2025-12-31T21:43:39Z,late,first,@copilot there were some changes made in main. Please review those and see if they affect this PR,,,,
Alan-Jowett/CoPilot-For-Consensus#665:issue_comment:3702938715,Alan-Jowett/CoPilot-For-Consensus,665,3702938715,Alan-Jowett,other_commenter,issue_comment,2025-12-31T21:43:52Z,late,first,@copilot there were some changes made in main. Please review those and see if they affect this PR,,,,
Alan-Jowett/CoPilot-For-Consensus#667:issue_comment:3702939023,Alan-Jowett/CoPilot-For-Consensus,667,3702939023,Alan-Jowett,other_commenter,issue_comment,2025-12-31T21:44:13Z,late,first,@copilot there were some changes made in main. Please review those and see if they affect this PR,,,,
Alan-Jowett/CoPilot-For-Consensus#667:issue_comment:3703007239,Alan-Jowett/CoPilot-For-Consensus,667,3703007239,Alan-Jowett,other_commenter,issue_comment,2025-12-31T23:02:50Z,late,last,@copilot address and reply to each comment with what you fixed,,,,
