mention_uid,llm_primary_label,llm_secondary_label,llm_confidence,llm_contains_multiple_functions,llm_rationale
567-labs/instructor#1976:issue_comment:3703037545,Justification,,0.8,False,"The mention is used to justify the choice of using the mode, citing that other models can support it as well."
567-labs/instructor#1976:issue_comment:3706021773,Explanation,,0.8,False,The mention explains the provenance of the added implementation and compares the output between different models and formats.
AWeber-Imbi/imbi-api#148:issue_comment:3702943449,Explanation,Justification,0.8,True,"The AI-generated summary explains the status of the PR, justifying the readiness for review."
AWeber-Imbi/imbi-api#148:issue_comment:3702945466,Explanation,,0.9,False,"The mention body discloses provenance, explaining where content came from (the comment was posted by Claude on behalf of @gmr) and documents the process (PR Monitor Update, CI/CD Status Update, Review Status, Exit Condition Met)."
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702868830,Suggestion,,1,False,"The mention directly asks an AI tool/agent to do something, making it a clear Suggestion."
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702944848,Suggestion,,1,False,"The mention is directing Copilot to address and reply to each comment, which is a clear suggestion to use the AI tool."
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702977929,Suggestion,,1.0,False,The mention directly recommends using an AI tool (CoPilot) and asks it to perform a specific action (address and reply to each comment).
Alan-Jowett/CoPilot-For-Consensus#659:issue_comment:3702937925,Suggestion,,1,False,"The mention explicitly asks @copilot to review changes, fitting the Suggestion label."
Alan-Jowett/CoPilot-For-Consensus#659:issue_comment:3702989133,Suggestion,,1,False,The mention_body contains a clear instruction to use CoPilot and respond to comments.
Alan-Jowett/CoPilot-For-Consensus#661:issue_comment:3703001909,Suggestion,,1.0,False,The mention explicitly asks an AI tool/agent to do something (reply to each comment with what was fixed).
Alan-Jowett/CoPilot-For-Consensus#664:issue_comment:3702938547,Suggestion,Justification,0.8,False,"The mention asks @copilot to review changes made in the main branch, which suggests a justification for the code/design choice and also a suggestion to use an AI tool."
Alan-Jowett/CoPilot-For-Consensus#665:issue_comment:3702938715,Suggestion,,1.0,False,"The mention contains the phrase '@copilot there', which is a clear request to review the PR using an AI tool, fitting the 'Suggestion' label."
Alan-Jowett/CoPilot-For-Consensus#667:issue_comment:3702939023,Suggestion,,1.0,False,"The mention body directly asks the AI tool/agent to do something, indicating a suggestion."
Alan-Jowett/CoPilot-For-Consensus#667:issue_comment:3703007239,Suggestion,None,1.0,False,"The mention explicitly asks @copilot to do something, suggesting the use of an AI tool."
AndyMik90/Auto-Claude#417:issue_comment:3697958836,Critique,Explanation,0.8,True,"The mention body explains the reason why the CLA status is pending and suggests rechecking it, which is a critique of the current state. At the same time, it provides an explanation of the process and how to resolve the issue."
AndyMik90/Auto-Claude#417:issue_comment:3698032464,Justification,Suggestion,0.8,True,"The mention mentions 'Enhanced AI responses' and 'Added instruction for AI to respond in user's language', indicating that the code is using AI to improve responses. However, the mention is also used to justify and explain the changes made, indicating a justification function."
AndyMik90/Auto-Claude#417:issue_comment:3703057163,Other,,1.0,False,"The mention body does not contain any indication of justification, explanation, suggestion, critique, or meta discussion. The mention is simply stating a fact about the code, which is a neutral assertion."
Aries-Serpent/_codex_#2672:issue_comment:3702758664,Suggestion,,1.0,False,"The mention provides a detailed plan for completing Phase 9.1 of the 100% test coverage roadmap, including specific tasks, timelines, and success criteria. The tone is instructional and advisory, suggesting that the reader should follow the plan to achieve the desired outcome."
Aries-Serpent/_codex_#2672:issue_comment:3702772491,Suggestion,Explanation,0.9,False,"The mention suggests using an AI tool (@copilot) and also explains the purpose and steps of the execution plan, making it both a suggestion and an explanation."
Aries-Serpent/_codex_#2672:issue_comment:3702930152,,,,,
Aries-Serpent/_codex_#2672:issue_comment:3702931334,Suggestion,Justification,0.8,True,"The mention body suggests using an AI tool (@copilot) to implement the complete CI Testing Agent infrastructure, and the text also explains the context and implementation steps, justifying the need for the AI tool."
Aries-Serpent/_codex_#2672:issue_comment:3702957188,Suggestion,Other,0.9,True,"The mention suggests using an AI tool (Copilot) to continue with Phase 9.2, but also contains additional information about the context, current state, and mission objectives. The mention is not solely a justification, explanation, or critique, but rather a suggestion to use an AI tool in conjunction with other tasks."
Aries-Serpent/_codex_#2672:issue_comment:3702962769,Suggestion,,1.0,False,The mention body explicitly asks the AI tool/agent to perform a specific task and provides instructions for how to interact with the tool.
Aries-Serpent/_codex_#2672:issue_comment:3702984070,Explanation,,1.0,False,"The mention is used to disclose provenance, explain where content came from, or document process. The text describes a design: Quantum-Math Orchestrator Agent (Cognitive Brain) and its components, along with their inputs, outputs, and tools used. This is an example of using an AI mention to explain the design and process of a system."
Aries-Serpent/_codex_#2672:issue_comment:3702987683,Suggestion,Justification,0.8,True,"The mention suggests using an AI tool (copilot) and justifies its usage by providing the results of its application, including increased test coverage and production readiness."
Aries-Serpent/_codex_#2672:issue_comment:3702995681,Suggestion,,1.0,False,"The mention is suggesting to use Copilot and its functionality, indicating a clear directive for action."
Aries-Serpent/_codex_#2672:issue_comment:3703008879,Suggestion,,1,False,The mention_body mentions an AI tool (Copilot) and asks it to perform specific tasks.
Aries-Serpent/_codex_#2672:issue_comment:3703034480,Critique,,1,False,"The mention body contains a list of unused imports, redundant comparisons, and empty except clauses, which are being critiqued by the commenter."
ArtemFilin1990/Baza#56:issue_comment:3703007480,Suggestion,,1.0,False,"The mention is recommending the use of an AI tool (@copilot), which is the primary function of the mention."
