mention_uid,repo_name,pr_number,mention_id,user_login,is_bot_like,speaker_role,mention_location,mention_time,timing_phase,mention_order_label,heuristic_function_label,mention_body,llm_primary_label,llm_secondary_label,llm_confidence,llm_contains_multiple_functions,llm_rationale
567-labs/instructor#1976:issue_comment:3703037545,567-labs/instructor,1976,3703037545,jxnl,False,other_commenter,issue_comment,2025-12-31T23:26:14Z,early,middle,Other,"should be fine with this as a mode, since all other models can support this too with the same mode right? 

whether is gemini, claude, gpt",,,,,
567-labs/instructor#1976:issue_comment:3706021773,567-labs/instructor,1976,3706021773,hsaeed3,False,author,issue_comment,2026-01-02T18:49:54Z,middle,last,Other,"added implementation for Claude models, but still needs further handling to support gemini/vertex/etc. models directly, the `examples/toon/run.py` tests responses from openai, anthropic as well as comparing token output between JSON, MD_JSON, TOOLS, compared to toon.",,,,,
AWeber-Imbi/imbi-api#148:issue_comment:3702943449,AWeber-Imbi/imbi-api,148,3702943449,gmr,False,author,issue_comment,2025-12-31T21:49:13Z,late,first,Explanation,"🤖 *This comment was posted by Claude on behalf of @gmr*

## PR Monitor Summary - Monitoring iteration #1 of 10

### CI/CD Status
✅ All checks passing:
- OSSAR-Scan: success
- test (3.12, 3.13, 3.14): all success
- CodeRabbit: success

### Code Review Feedback Addressed

#### ✅ Docstring References (Already Fixed in 6aeb818)
The incorrect references to `aj.errors.DatabaseError` were already corrected to `DatabaseError` in commit 6aeb818. No further action needed.

#### ✅ Resilient Error Handling (Implemented in 7c952ea)
Implemented CodeRabbit's suggestions for robust `asyncio.gather` error handling in `src/imbi/app.py`:

**Startup initialization:**
- Added `return_exceptions=True` to prevent task cancellation on failure
- Implemented cleanup logic to close successfully initialized services before re-raising exceptions
- Added error logging for failed service initialization

**Shutdown:**
- Added `return_exceptions=True` to ensure all services get cleanup opportunity
- Implemented warning-level logging for shutdown failures (non-blocking)
- Ensures graceful degradation during shutdown

This prevents resource leaks and ensures proper cleanup in both successful and failed scenarios (confidence: ~95%).

#### ✅ Version Constraints Discussion (Already Resolved)
The thread about adding version constraints to new dependencies (`clickhouse-connect`, `orjson`, `sentry-sdk`) was resolved through discussion. Since the project uses `uv.lock` for reproducibility, leaving dependencies unpinned in `pyproject.toml` is consistent with the project's existing pattern.

### Review Threads Resolved
- ✅ Resolved: `src/imbi/app.py:23` - asyncio.gather startup error handling
- ✅ Resolved: `src/imbi/app.py:45` - asyncio.gather shutdown error handling
- ✅ Already Resolved: Docstring reference corrections
- ✅ Already Resolved: Version constraints discussion

### Test Results
All 261 tests pass with 95% coverage. The error handling improvements maintain full test coverage.

### Status
🟢 **All issues addressed.** The PR is ready for review - all CI checks passing, all actionable code review feedback implemented, and all review threads resolved.",,,,,
AWeber-Imbi/imbi-api#148:issue_comment:3702945466,AWeber-Imbi/imbi-api,148,3702945466,gmr,False,author,issue_comment,2025-12-31T21:51:37Z,late,last,Other,"🤖 *This comment was posted by Claude on behalf of @gmr*

## PR Monitor Update - Monitoring iteration #2 of 10

### CI/CD Status Update
✅ **All CI checks passing after latest commit (7c952ea):**
- OSSAR-Scan: success
- test (3.12): success ✅
- test (3.13): success ✅
- test (3.14): success ✅
- bandit: success
- binskim: success
- eslint: success

### Review Status
✅ All review threads resolved
✅ No new comments or issues detected
✅ No unresolved review feedback

### Exit Condition Met
🟢 **Monitoring complete** - All CI checks passing AND all review threads resolved. The PR is in excellent shape and ready for merge.",,,,,
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702868830,Alan-Jowett/CoPilot-For-Consensus,657,3702868830,Alan-Jowett,False,other_commenter,issue_comment,2025-12-31T20:36:31Z,late,first,Suggestion,@copilot there were some changes made in main. Please review those and see if they affect this PR,,,,,
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702944848,Alan-Jowett/CoPilot-For-Consensus,657,3702944848,Alan-Jowett,False,other_commenter,issue_comment,2025-12-31T21:50:51Z,late,middle,Suggestion,@copilot address and reply to each comment with what you fixed.,,,,,
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702977929,Alan-Jowett/CoPilot-For-Consensus,657,3702977929,Alan-Jowett,False,other_commenter,issue_comment,2025-12-31T22:29:16Z,late,middle,Suggestion,@copilot address and reply to each comment with what you fixed.,,,,,
Alan-Jowett/CoPilot-For-Consensus#659:issue_comment:3702937925,Alan-Jowett/CoPilot-For-Consensus,659,3702937925,Alan-Jowett,False,other_commenter,issue_comment,2025-12-31T21:42:56Z,late,first,Suggestion,@copilot there were some changes made in main. Please review those and see if they affect this PR,,,,,
Alan-Jowett/CoPilot-For-Consensus#659:issue_comment:3702989133,Alan-Jowett/CoPilot-For-Consensus,659,3702989133,Alan-Jowett,False,other_commenter,issue_comment,2025-12-31T22:45:08Z,late,middle,Suggestion,@copilot address and reply to each comment with what you fixed.,,,,,
Alan-Jowett/CoPilot-For-Consensus#661:issue_comment:3703001909,Alan-Jowett/CoPilot-For-Consensus,661,3703001909,Alan-Jowett,False,other_commenter,issue_comment,2025-12-31T23:00:05Z,late,middle,Suggestion,@copilot address and reply to each comment with what you fixed,,,,,
Alan-Jowett/CoPilot-For-Consensus#664:issue_comment:3702938547,Alan-Jowett/CoPilot-For-Consensus,664,3702938547,Alan-Jowett,False,other_commenter,issue_comment,2025-12-31T21:43:39Z,late,first,Suggestion,@copilot there were some changes made in main. Please review those and see if they affect this PR,,,,,
Alan-Jowett/CoPilot-For-Consensus#665:issue_comment:3702938715,Alan-Jowett/CoPilot-For-Consensus,665,3702938715,Alan-Jowett,False,other_commenter,issue_comment,2025-12-31T21:43:52Z,late,first,Suggestion,@copilot there were some changes made in main. Please review those and see if they affect this PR,,,,,
Alan-Jowett/CoPilot-For-Consensus#667:issue_comment:3702939023,Alan-Jowett/CoPilot-For-Consensus,667,3702939023,Alan-Jowett,False,other_commenter,issue_comment,2025-12-31T21:44:13Z,late,first,Suggestion,@copilot there were some changes made in main. Please review those and see if they affect this PR,,,,,
Alan-Jowett/CoPilot-For-Consensus#667:issue_comment:3703007239,Alan-Jowett/CoPilot-For-Consensus,667,3703007239,Alan-Jowett,False,other_commenter,issue_comment,2025-12-31T23:02:50Z,late,last,Suggestion,@copilot address and reply to each comment with what you fixed,,,,,
AndyMik90/Auto-Claude#417:issue_comment:3697958836,AndyMik90/Auto-Claude,417,3697958836,CLAassistant,False,other_commenter,issue_comment,2025-12-30T01:04:18Z,early,first,Critique,"[![CLA assistant check](https://cla-assistant.io/pull/badge/not_signed)](https://cla-assistant.io/AndyMik90/Auto-Claude?pullRequest=417) <br/>Thank you for your submission! We really appreciate it. Like many open source projects, we ask that you sign our [Contributor License Agreement](https://cla-assistant.io/AndyMik90/Auto-Claude?pullRequest=417) before we can accept your contribution.<br/><hr/>**sumca1** seems not to be a GitHub user. You need a GitHub account to be able to sign the CLA. If you have already a GitHub account, please [add the email address used for this commit to your account](https://help.github.com/articles/why-are-my-commits-linked-to-the-wrong-user/#commits-are-not-linked-to-any-user).<br/><sub>You have signed the CLA already but the status is still pending? Let us [recheck](https://cla-assistant.io/check/AndyMik90/Auto-Claude?pullRequest=417) it.</sub>",,,,,
AndyMik90/Auto-Claude#417:issue_comment:3698032464,AndyMik90/Auto-Claude,417,3698032464,sumca1,False,author,issue_comment,2025-12-30T01:53:29Z,early,middle,Other,"## Summary

This PR adds complete Hebrew (he) translation support to the Auto-Claude UI, including:

### Translation Coverage
- ✅ 30+ translation JSON files (en + he locales)
- ✅ All UI components, dialogs, settings, and features
- ✅ RTL (Right-to-Left) support with proper text direction
- ✅ i18next v23+ with namespace support and pluralization

### Code Quality Fixes
- Added `type=""button""` to prevent unintended form submissions
- Fixed JSON syntax error (extra closing brace in `settings.json`)
- Implemented proper i18next pluralization (removed manual logic)
- Added missing translation keys for consistency
- Used IPC constants instead of hardcoded strings
- **Enhanced AI responses**: Added instruction for AI to respond in user's language

### Technical Details
- Framework: i18next with React hooks (`useTranslation`)
- Structure: Organized by feature domain (common, settings, tasks, etc.)
- Language detection: Auto-detects from system locale with manual override
- Tested locally and working correctly

---

### Note on Workflow Approvals
I notice that 7 workflows are awaiting approval from maintainers. As a first-time contributor, I don't have permission to trigger these checks myself. The code is ready for review, and I'm happy to make any additional changes based on feedback.

Looking forward to your review! 🙏",,,,,
AndyMik90/Auto-Claude#417:issue_comment:3703057163,AndyMik90/Auto-Claude,417,3703057163,sumca1,False,author,issue_comment,2025-12-31T23:43:49Z,early,middle,Other,לא זה נוצר על ידי copilot אבל רק עבור יהודים,,,,,
