mention_uid,repo_name,pr_number,invocation_user_login,invocation_speaker_role,invocation_timing_phase,invocation_body,has_next_human_comment,has_next_bot_comment,latency_to_next_human_comment_hours,n_human_followups_captured,merged,invocation_before_merge,time_to_merge_after_invocation_hours,pr_title,next_human_1_user_login,next_human_1_body,next_human_2_user_login,next_human_2_body,next_human_3_user_login,next_human_3_body,manual_uptake_label,manual_uptake_secondary,manual_uptake_notes
influxdata/docs-v2#6622:issue_comment:3703021628,influxdata/docs-v2,6622,jstirnaman,author,early,"@claude The last commit fixed the children list in the /api/ section page template, but broke the endpoint page template. Analyze. Screenshot: ![screencapture-test2-docs-influxdata-influxdb3-core-api-v3-configure-2025-12-31-14_31_02.png](https://github.com/user-attachments/assets/3169c5e6-0ed6-4539-8711-404e02d514da)",True,False,47.447,1,False,False,,Migrate API reference docs to Hugo-native for improved site integration,jstirnaman,"> @claude The last commit fixed the children list in the /api/ section page template, but broke the endpoint page template. Analyze. > > Screenshot: ![screencapture-test2-docs-influxdata-influxdb3-core-api-v3-configure-2025-12-31-14_31_02.png](https://private-user-images.githubusercontent.com/212227/531295579-3169c5e6-0ed6-4539-8711-404e02d514da.png?jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJnaXRodWIuY29tIiwiYXVkIjoicmF3LmdpdGh1YnVzZXJjb250ZW50LmNvbSIsImtleSI6ImtleTUiLCJleHAiOjE3NjczOTM5MjEsIm5iZiI6MTc2NzM5MzYyMSwicGF0aCI6Ii8yMTIyMjcvNTMxMjk1NTc5LTMxNjljNWU2LTBlZDYtNDUzOS04NzExLTQwNGUwMmQ1MTRkYS5wbmc_WC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBVkNPRFlMU0E1M1BRSzRaQSUyRjIwMjYwMTAyJTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDI2MDEwMlQyMjQwMjFaJlgtQW16LUV4cGlyZXM9MzAwJlgtQW16LVNpZ25hdHVyZT1jZjdiNzFmOGQ2YmMwMjk3NmJiMTlhNzk3ZDFlZDdhMWFkMDQ2ODI3MTc2NTlmZGZmMWE1ZTBlZmZjMzJjOTM4JlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCJ9.YpoHofcU2p8k12_KBGf5vy4MTg37gA2X1Cz3xVtR1WI) ✅",,,,,,,
ollieb89/jules_api_ui#61:issue_comment:3702890155,ollieb89/jules_api_ui,61,ollieb89,author,early,@copilot open a new pull request to apply changes based on the comments in [this thread](https://github.com/ollieb89/jules_api_ui/pull/61#pullrequestreview-3621426042),True,True,1.4,1,False,False,,feat: persist Jules sessions and activities,ollieb89,@copilot open a new pull request to apply changes based on the comments in [this thread](https://github.com/ollieb89/jules_api_ui/pull/61#pullrequestreview-3621426042),,,,,,,
ollieb89/jules_api_ui#61:issue_comment:3702973115,ollieb89/jules_api_ui,61,ollieb89,author,late,@copilot open a new pull request to apply changes based on the comments in [this thread](https://github.com/ollieb89/jules_api_ui/pull/61#pullrequestreview-3621426042),False,True,,0,False,False,,feat: persist Jules sessions and activities,,,,,,,,,
Jayc82/Orion#1:issue_comment:3701733810,Jayc82/Orion,1,Jayc82,other_commenter,early,@copilot What's our next steps,True,True,0.084,3,False,False,,"scaffold: Add Substrate + EVM (Frontier) integration with Orion customizations, Docker support, wallet integration, multi-node testnet deployment, comprehensive security framework, automated testing, technical whitepaper, and PoW hybrid consensus archi...",Jayc82,@copilot Ok proceed,Jayc82,@copilot Implement Issue #1,Jayc82,@copilot Well how about we break the 2000+ lines of complex code into parts so we can write it in sections,,,
Open-J-Proxy/ojp#196:issue_comment:3698911071,Open-J-Proxy/ojp,196,rrobetti,other_commenter,early,"@copilot Warning: COMPILATION WARNING : [INFO] ------------------------------------------------------------- Warning: location of system modules is not set in conjunction with -source 11 not setting the location of system modules may lead to class files that cannot run on JDK 11 --release 11 is recommended instead of -source 11 -target 11 because it sets the location of system modules automatically [INFO] 1 warning [INFO] ------------------------------------------------------------- [INFO] ------------------------------------------------------------- Error: COMPILATION ERROR : [INFO] ------------------------------------------------------------- Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/single/OracleXAEdgeCasesTest.java:[1117,2] reached end of file while parsing",True,True,0.402,3,False,False,,"Add comprehensive XA transaction testing plan with baseline-first approach and Phase 1-9 implementation (Oracle/DB2 PASSING, SQL Server DEBUGGING)",rrobetti,"@copilot [INFO] ------------------------------------------------------------- Error: COMPILATION ERROR : [INFO] ------------------------------------------------------------- Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/single/DB2XABasicTest.java:[35,66] cannot find symbol symbol: class SQLException location: class org.openjproxy.xa.baseline.single.DB2XABasicTest [INFO] 1 error",rrobetti,@copilot fix the attached errors [CompilationErrors.txt](https://github.com/user-attachments/files/24382241/CompilationErrors.txt),rrobetti,@copilot are you sure you commited the fixes?,,,
Jayc82/Orion#1:issue_comment:3702967187,Jayc82/Orion,1,Jayc82,other_commenter,early,@copilot 1,True,True,0.141,3,False,False,,"scaffold: Add Substrate + EVM (Frontier) integration with Orion customizations, Docker support, wallet integration, multi-node testnet deployment, comprehensive security framework, automated testing, technical whitepaper, and PoW hybrid consensus archi...",Jayc82,@copilot What else needs done?,Jayc82,@copilot C,Jayc82,@copilot So what do i need to depoly this coin,,,
JakeDot/cgeo#137:issue_comment:3702584335,JakeDot/cgeo,137,JakeDot,other_commenter,early,"@copilot make the button text shorter, it is unreadable",True,True,0.349,3,False,False,,Add delete all button to pending downloads activity (fix cgeo#17174),JakeDot,"@copilot the issue with the unreadable text was not caused by string length, it is a layout problem. Please fix this. See attached screenshot. <img width=""1080"" height=""2340"" alt=""Screenshot_20251231_190154_cgeo"" src=""https://github.com/user-attachments/assets/d1e15142-e901-443b-adb5-4dddf09278f6"" />",JakeDot,"@copilot perfect, now remove the apk from the commit",JakeDot,@copilot please rebase this PR on cgeo/cgeo:master,,,
Open-J-Proxy/ojp#196:issue_comment:3701792517,Open-J-Proxy/ojp,196,rrobetti,other_commenter,early,"@copilot DB2 tests are still not working. Check what is different between what you are trying to do here and the existing DB2 tests that work. Just answer, don't change code.",True,True,0.35,3,False,False,,"Add comprehensive XA transaction testing plan with baseline-first approach and Phase 1-9 implementation (Oracle/DB2 PASSING, SQL Server DEBUGGING)",rrobetti,"@copilot remove test containers completely from the new DB2 tests you are creating, follow the existing way you found that does not use containers.",rrobetti,"@copilot [INFO] Results: [INFO] Error: Failures: Error: DB2XABasicTest.testXAConnectionCreation:141 Auto-commit should be disabled for XA connections ==> expected: <false> but was: <true> Error: Errors: Error: DB2XABasicTest.testBasicXATransactionLifecycle:176 » SqlSyntaxError DB2 SQL Error: SQLCODE=-206, SQLSTATE=42703, SQLERRMC=TEST_NAME, DRIVER=4.33.31 Error: DB2XABasicTest.testOnePhaseCommitOptimization:249 » SqlSyntaxError DB2 SQL Error: SQLCODE=-206, SQLSTATE=42703, SQLERRMC=TEST_NAME, DRIVER=4.33.31 Error: DB2XABasicTest.testReadOnlyTransactionOptimization:283 » SqlSyntaxError DB2 SQL Error: SQLCODE=-206, SQLSTATE=42703, SQLERRMC=TEST_NAME, DRIVER=4.33.31 Error: DB2XABasicTest.testTransactionBranchJoining:384 » SqlNonTransientConnection [jcc][10335][10809][4.33.31] Invalid operation: Connection is closed. ERRORCODE=-4470, SQLSTATE=08003 Error: DB2XABasicTest.testTransactionFailureMarking:440 » SqlSyntaxError DB2 SQL Error: SQLCODE=-206, SQLSTATE=42703, SQLERRMC=TEST_NAME, DRIVER=4.33.31 Error: DB2XABasicTest.testTransactionSuspensionAndResumption:335 » SqlSyntaxError DB2 SQL Error: SQLCODE=-206, SQLSTATE=42703, SQLERRMC=TEST_NAME, DRIVER=4.33.31 Error: DB2XABasicTest.testXATransactionRollback:214 » SqlSyntaxError DB2 SQL Error: SQLCODE=-206, SQLSTATE=42703, SQLERRMC=TEST_NAME, DRIVER=4.33.31 [INFO] Error: Tests run: 933, Failures: 1, Errors: 7, Skipped: 675",rrobetti,"@copilot [INFO] Results: [INFO] Error: Errors: Error: DB2XABasicTest.testBasicXATransactionLifecycle:179 » SqlSyntaxError DB2 SQL Error: SQLCODE=-206, SQLSTATE=42703, SQLERRMC=TEST_NAME, DRIVER=4.33.31 Error: DB2XABasicTest.testOnePhaseCommitOptimization:252 » SqlSyntaxError DB2 SQL Error: SQLCODE=-206, SQLSTATE=42703, SQLERRMC=TEST_NAME, DRIVER=4.33.31 Error: DB2XABasicTest.testReadOnlyTransactionOptimization:286 » SqlSyntaxError DB2 SQL Error: SQLCODE=-206, SQLSTATE=42703, SQLERRMC=TEST_NAME, DRIVER=4.33.31 Error: DB2XABasicTest.testTransactionBranchJoining:387 » SqlNonTransientConnection [jcc][10335][10809][4.33.31] Invalid operation: Connection is closed. ERRORCODE=-4470, SQLSTATE=08003 Error: DB2XABasicTest.testTransactionFailureMarking:443 » SqlSyntaxError DB2 SQL Error: SQLCODE=-206, SQLSTATE=42703, SQLERRMC=TEST_NAME, DRIVER=4.33.31 Error: DB2XABasicTest.testTransactionSuspensionAndResumption:338 » SqlSyntaxError DB2 SQL Error: SQLCODE=-206, SQLSTATE=42703, SQLERRMC=TEST_NAME, DRIVER=4.33.31 Error: DB2XABasicTest.testXATransactionRollback:217 » SqlSyntaxError DB2 SQL Error: SQLCODE=-206, SQLSTATE=42703, SQLERRMC=TEST_NAME, DRIVER=4.33.31 [INFO] Error: Tests run: 933, Failures: 0, Errors: 7, Skipped: 675",,,
Open-J-Proxy/ojp#196:issue_comment:3702113071,Open-J-Proxy/ojp,196,rrobetti,other_commenter,early,"@copilot [INFO] Results: [INFO] Error: Errors: Error: DB2XABasicTest.testTransactionBranchJoining:387 » SqlNonTransientConnection [jcc][10335][10809][4.33.31] Invalid operation: Connection is closed. ERRORCODE=-4470, SQLSTATE=08003 Error: DB2XABasicTest.testTransactionFailureMarking:447 » Xa [jcc][t4][10401][12066][4.33.31] XA exception: XA_RBROLLBACK ERRORCODE=-4228, SQLSTATE=null [INFO] Error: Tests run: 933, Failures: 0, Errors: 2, Skipped: 675",True,True,0.874,3,False,False,,"Add comprehensive XA transaction testing plan with baseline-first approach and Phase 1-9 implementation (Oracle/DB2 PASSING, SQL Server DEBUGGING)",rrobetti,"@copilot Error: Errors: Error: DB2XABasicTest.testTransactionFailureMarking:452 » Xa [jcc][t4][10401][12066][4.33.31] XA exception: XA_RBROLLBACK ERRORCODE=-4228, SQLSTATE=null [INFO] Error: Tests run: 933, Failures: 0, Errors: 1, Skipped: 676",rrobetti,"@copilot now focus on fixing SQL server tests, remember that SQL server already have working integration tests using test containers. [sqlServerRawLogs.txt](https://github.com/user-attachments/files/24394883/sqlServerRawLogs.txt)",rrobetti,"@copilot tests are failing for the exact same reasons as before, stop messing and fix this. PRINT '========================================'; PRINT 'SQL Server XA Setup Complete'; PRINT '========================================'; PRINT 'Database: xatestdb'; PRINT 'Test Table: xa_test_baseline'; PRINT 'Test Sequence: xa_test_seq'; PRINT 'XA Support: Enabled'; PRINT '========================================'; GO at org.testcontainers.jdbc.JdbcDatabaseDelegate.execute(JdbcDatabaseDelegate.java:59) at org.testcontainers.delegate.AbstractDatabaseDelegate.execute(AbstractDatabaseDelegate.java:38) at org.testcontainers.ext.ScriptUtils.executeDatabaseScript(ScriptUtils.java:307) ... 27 more Caused by: com.microsoft.sqlserver.jdbc.SQLServerException: Incorrect syntax near 'GO'. at com.microsoft.sqlserver.jdbc.SQLServerException.makeFromDatabaseError(SQLServerException.java:270) at com.microsoft.sqlserver.jdbc.SQLServerStatement.getNextResult(SQLServerStatement.java:1735) at com.microsoft.sqlserver.jdbc.SQLServerStatement.doExecuteStatement(SQLServerStatement.java:929) at com.microsoft.sqlserver.jdbc.SQLServerStatement$StmtExecCmd.doExecute(SQLServerStatement.java:823) at com.microsoft.sqlserver.jdbc.TDSCommand.execute(IOBuffer.java:7745) at com.microsoft.sqlserver.jdbc.SQLServerConnection.executeCommand(SQLServerConnection.java:4391) at com.microsoft.sqlserver.jdbc.SQLServerStatement.executeCommand(SQLServerStatement.java:276) at com.microsoft.sqlserver.jdbc.SQLServerStatement.executeStatement(SQLServerStatement.java:246) at com.microsoft.sqlserver.jdbc.SQLServerStatement.execute(SQLServerStatement.java:796) at org.testcontainers.jdbc.JdbcDatabaseDelegate.execute(JdbcDatabaseDelegate.java:46) ... 29 more [INFO] [INFO] Results: [INFO] Error: Errors: Error: SQLServerXAContainerSmokeTest.setUpClass:52 » ContainerLaunch Container startup failed for image mcr.microsoft.com/mssql/server:2022-latest Error: SQLServerXABasicTest.setUpClass:47 » ContainerLaunch Container startup failed for image mcr.microsoft.com/mssql/server:2022-latest Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXAEdgeCasesTest>XATestBase.setUp:73 » NullPointer Cannot invoke ""javax.sql.XADataSource.getXAConnection()"" because ""this.xaDataSource"" is null Error: SQLServerXARecoveryTest>XATestBase.setUp:70->createXADataSource:57 » ContainerLaunch Container startup failed for image mcr.microsoft.com/mssql/server:2022-latest Error: SQLServerXARecoveryTest>XATestBase.setUp:70->createXADataSource:57 » ContainerLaunch Container startup failed for image mcr.microsoft.com/mssql/server:2022-latest Error: SQLServerXARecoveryTest>XATestBase.setUp:70->createXADataSource:57 » ContainerLaunch Container startup failed for image mcr.microsoft.com/mssql/server:2022-latest Error: SQLServerXARecoveryTest>XATestBase.setUp:70->createXADataSource:57 » ContainerLaunch Container startup failed for image mcr.microsoft.com/mssql/server:2022-latest Error: SQLServerXARecoveryTest>XATestBase.setUp:70->createXADataSource:57 » ContainerLaunch Container startup failed for image mcr.microsoft.com/mssql/server:2022-latest [INFO] Error: Tests run: 98, Failures: 0, Errors: 40, Skipped: 0 [INFO] [INFO] ------------------------------------------------------------------------ [INFO] BUILD FAILURE",,,
carstenartur/eclipse.jdt.ui#43:issue_comment:3703008850,carstenartur/eclipse.jdt.ui,43,carstenartur,other_commenter,early,@copilot Try again,True,True,4.902,3,False,False,,Add Quick Assist to disable/enable JUnit tests (including parameterized tests),carstenartur,@copilot try again,carstenartur,@copilot Junit tests for this feature are not included. Can you add them? Should the disabled Annotation be used when the test is annotated using the jupiter test Annotation and with ignore when it is annotated with the junit 4 Test Annotation?,carstenartur,@copilot Is it possible to support parametrized tests in some cases?,,,
