mention_uid,llm_primary_label,llm_secondary_label,llm_confidence,llm_contains_multiple_functions,llm_rationale
567-labs/instructor#1976:issue_comment:3703037545,Other,,1,False,
567-labs/instructor#1976:issue_comment:3706021773,Explanation,,0.8,False,
AWeber-Imbi/imbi-api#148:issue_comment:3702943449,Explanation,,1,False,
AWeber-Imbi/imbi-api#148:issue_comment:3702945466,Justification,,1,False,
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702868830,Suggestion,,1.0,False,
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702944848,Suggestion,,1,False,
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702977929,Suggestion,,1.0,False,
Alan-Jowett/CoPilot-For-Consensus#659:issue_comment:3702937925,Suggestion,,1,False,
Alan-Jowett/CoPilot-For-Consensus#659:issue_comment:3702989133,Suggestion,,1,False,
Alan-Jowett/CoPilot-For-Consensus#661:issue_comment:3703001909,Suggestion,,1.0,False,
Alan-Jowett/CoPilot-For-Consensus#664:issue_comment:3702938547,Suggestion,,1,False,
Alan-Jowett/CoPilot-For-Consensus#665:issue_comment:3702938715,Suggestion,,1.0,False,
Alan-Jowett/CoPilot-For-Consensus#667:issue_comment:3702939023,Suggestion,Other,0.8,False,
Alan-Jowett/CoPilot-For-Consensus#667:issue_comment:3703007239,Suggestion,,,False,
AndyMik90/Auto-Claude#417:issue_comment:3697958836,Critique,,1.0,False,
AndyMik90/Auto-Claude#417:issue_comment:3698032464,Explanation,Justification,0.8,False,
AndyMik90/Auto-Claude#417:issue_comment:3703057163,Critique,Other,1,False,
Aries-Serpent/_codex_#2672:issue_comment:3702758664,Suggestion,,1,False,
Aries-Serpent/_codex_#2672:issue_comment:3702772491,Suggestion,,1.0,False,
Aries-Serpent/_codex_#2672:issue_comment:3702930152,Meta discussion,Justification,0.8,False,
Aries-Serpent/_codex_#2672:issue_comment:3702931334,Suggestion,,1,False,
Aries-Serpent/_codex_#2672:issue_comment:3702957188,Suggestion,,1,False,
Aries-Serpent/_codex_#2672:issue_comment:3702962769,Suggestion,,1,False,
Aries-Serpent/_codex_#2672:issue_comment:3702984070,Meta discussion,,1,False,
Aries-Serpent/_codex_#2672:issue_comment:3702987683,Suggestion,,1.0,False,
Aries-Serpent/_codex_#2672:issue_comment:3702995681,Suggestion,None,1.0,False,
Aries-Serpent/_codex_#2672:issue_comment:3703008879,Suggestion,,1.0,False,
Aries-Serpent/_codex_#2672:issue_comment:3703034480,Critique,None,1.0,False,
ArtemFilin1990/Baza#56:issue_comment:3703007480,Suggestion,None,1,False,
ArtemFilin1990/Baza#56:issue_comment:3703035197,Suggestion,,1,False,
ArtisanClarinets/crispy-fishstick#41:issue_comment:3703036095,Suggestion,,1,False,
BryceWayne/MemoryStore#12:issue_comment:3703055298,Suggestion,,1,False,
BryceWayne/MemoryStore#12:issue_comment:3703064819,Suggestion,,1.0,False,
CodeHalwell/Agent-Gantry#55:issue_comment:3703000282,Suggestion,None,1.0,False,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3701675960,Justification,,0.9,False,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3701948753,Suggestion,,1,False,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3701990235,Suggestion,Other,0.9,False,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3702647913,Suggestion,Justification,0.8,False,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3702945954,Suggestion,Justification,0.9,False,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3702972735,Suggestion,,1.0,False,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3703086632,Explanation,Justification,0.9,False,
DamienLove/pulselink#311:issue_comment:3703000950,Meta discussion,Other,0.8,True,
DaveSkender/Stock.Indicators#1825:issue_comment:3703048400,Suggestion,,1.0,False,
Entze/frost#37:review:3621463081,Critique,Suggestion,0.8,True,
Entze/frost#37:review_comment:2655920479,Suggestion,,1,False,
Entze/frost#37:review_comment:2655921135,Suggestion,,1,False,
Entze/frost#37:review_comment:2655921678,Suggestion,,1.0,False,
Entze/frost#37:review_comment:2655922779,Suggestion,,1.0,False,
Entze/frost#37:review_comment:2655923256,Critique,Suggestion,0.8,False,
Entze/frost#37:review:3621478300,Suggestion,,1,False,
FishWoWater/Open3DStudio#2:issue_comment:3703684374,Suggestion,,1.0,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702700055,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702726499,Suggestion,,1.0,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702731035,Suggestion,Justification,0.8,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702742660,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702744959,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702748352,Suggestion,,1.0,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702754479,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702756378,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702763594,Suggestion,,1.0,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702768384,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702777168,Suggestion,,1.0,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702778467,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702815207,Critique,Justification,0.75,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702823568,Suggestion,,1.0,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702827119,Suggestion,,1.0,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702831047,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702902165,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703051902,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703086924,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703097572,Suggestion,,1.0,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703106150,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703128750,Critique,Justification,0.8,True,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703139523,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703154118,Suggestion,,1.0,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703184328,Suggestion,,1,False,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703188894,Suggestion,,1.0,False,
GregorGullwi/FlashCpp#338:issue_comment:3702934606,Suggestion,,1,False,
GregorGullwi/FlashCpp#338:issue_comment:3702974795,Suggestion,,1,False,
Hack23/blacktrigram#1056:issue_comment:3702852616,Suggestion,,1,False,
Hack23/blacktrigram#1056:issue_comment:3702907985,Suggestion,,1.0,False,
Hack23/blacktrigram#1056:issue_comment:3702934458,Suggestion,,1,False,
Hack23/blacktrigram#1056:issue_comment:3702958567,Suggestion,,1,False,
Hack23/blacktrigram#1056:issue_comment:3702996201,Suggestion,,1.0,False,
Hack23/blacktrigram#1056:issue_comment:3703053516,Suggestion,,1.0,False,
Hack23/cia#8153:issue_comment:3698041175,Suggestion,,1,False,
Hack23/cia#8153:issue_comment:3698107304,Suggestion,,1,False,
Hack23/cia#8153:issue_comment:3698153668,Suggestion,,1,False,
Hack23/cia#8153:issue_comment:3702206053,Suggestion,None,1.0,False,
Hack23/cia#8153:issue_comment:3702280094,Suggestion,Other,0.95,False,
Hack23/cia#8153:issue_comment:3702483423,Suggestion,,1,False,
Hack23/cia#8153:issue_comment:3702579988,Suggestion,None,1.0,False,
Hack23/cia#8153:issue_comment:3702699965,Suggestion,,1.0,False,
Hack23/cia#8153:issue_comment:3702754595,Suggestion,,1.0,False,
Hack23/cia#8153:issue_comment:3702903562,Suggestion,,1,False,
Hack23/cia#8153:issue_comment:3702927368,Suggestion,,1.0,False,
Hack23/cia#8153:issue_comment:3702944621,Suggestion,,1.0,False,
Hack23/cia#8153:issue_comment:3702965388,Suggestion,,1,False,
Hexagon/hemulator#214:issue_comment:3702990881,Suggestion,,high,false,
Hexagon/hemulator#214:issue_comment:3704239304,Suggestion,,1,False,
Hexagon/hemulator#214:issue_comment:3704246699,Suggestion,,1.0,False,
Hexagon/hemulator#214:issue_comment:3704260296,Suggestion,,1,False,
Hexagon/hemulator#214:issue_comment:3704275587,Suggestion,,1,False,
Hexagon/hemulator#214:issue_comment:3704278589,Suggestion,,1,False,
HungLo2020/MattMC#334:issue_comment:3702934231,Suggestion,,1,False,
HungLo2020/MattMC#334:issue_comment:3702938526,Suggestion,,1.0,False,
HungLo2020/MattMC#334:issue_comment:3702950390,Suggestion,Other,1,False,
HungLo2020/MattMC#334:issue_comment:3702955297,Suggestion,Critique,0.8,True,
HungLo2020/MattMC#334:issue_comment:3702963725,Suggestion,None,1.0,False,
HungLo2020/MattMC#334:issue_comment:3702973736,Suggestion,,1.0,False,
HungLo2020/MattMC#334:issue_comment:3702976703,Suggestion,,1,False,
JakeDot/cgeo#137:issue_comment:3702584335,Suggestion,Other,1,False,
JakeDot/cgeo#137:issue_comment:3702624368,Suggestion,,1.0,False,
JakeDot/cgeo#137:issue_comment:3702645812,Suggestion,,1.0,False,
JakeDot/cgeo#137:issue_comment:3702964068,Suggestion,,1,False,
Jayc82/Orion#1:issue_comment:3701729412,Suggestion,,1,False,
Jayc82/Orion#1:issue_comment:3701733810,Suggestion,,1,False,
Jayc82/Orion#1:issue_comment:3701740884,Suggestion,,1.0,False,
