mention_uid,repo_name,pr_number,invocation_user_login,invocation_speaker_role,invocation_timing_phase,invocation_body,has_next_human_comment,has_next_bot_comment,latency_to_next_human_comment_hours,n_human_followups_captured,merged,invocation_before_merge,time_to_merge_after_invocation_hours,pr_title,next_human_1_user_login,next_human_1_body,next_human_2_user_login,next_human_2_body,next_human_3_user_login,next_human_3_body,manual_uptake_label,manual_uptake_secondary,manual_uptake_notes
jaredlewiswechs/Newton-api#5:issue_comment:3703020867,jaredlewiswechs/Newton-api,5,jaredlewiswechs,author,late,Claudio @claude,False,False,,0,True,True,0.002,Claude/test basic functionality l9 gad,,,,,,,,,
andersaamodt/wizardry#769:issue_comment:3702939502,andersaamodt/wizardry,769,andersaamodt,other_commenter,late,@copilot Maybe for clarity and functions called by glosses should be named word_gloss(). This prevents collisions too,False,False,,0,True,True,0.023,Convert from script-based to function-based glosses,,,,,,,,,
jason-shprintz/dynastiest-league#29:review_comment:2655999507,jason-shprintz/dynastiest-league,29,jason-shprintz,reviewer,late,@copilot apply changes based on [this feedback](https://github.com/jason-shprintz/dynastiest-league/pull/29#discussion_r2655996788),False,True,,0,True,True,0.062,Optimize images and fonts for Lighthouse performance improvements,,,,,,,,,
ranjitp16/ranjitp16.github.io#1:issue_comment:3702990636,ranjitp16/ranjitp16.github.io,1,ranjitp16,other_commenter,middle,@copilot make it appealing to eyes,True,True,0.393,1,True,True,0.066,Initialize GitHub Pages with styled index.html,ranjitp16,@copilot create a new branch and add the contents of the readme.md from ranjitp16 repo in this repo's readme and also as the html keep all the js and css in the index.html,,,,,,,
totem-technologies/totem-server#192:issue_comment:3702981917,totem-technologies/totem-server,192,blopker,other_commenter,late,"@claude, review!",False,True,,0,True,True,0.071,App Experience,,,,,,,,,
SharpMUSH/SharpMUSH#326:issue_comment:3703053311,SharpMUSH/SharpMUSH,326,HarryCordewener,other_commenter,late,@copilot Continue,False,True,,0,True,True,0.074,Remove NotImplementedException instances and implement TODO items,,,,,,,,,
ranjitp16/ranjitp16.github.io#2:issue_comment:3703034931,ranjitp16/ranjitp16.github.io,2,ranjitp16,other_commenter,middle,@copilot lets make the font a bit techie...,False,True,,0,True,True,0.081,Add portfolio content from ranjitp16 repo and convert to HTML,,,,,,,,,
bdossantos/bds.home.arpa#146:issue_comment:3702959980,bdossantos/bds.home.arpa,146,bdossantos,other_commenter,middle,@copilot Pfsense WAN1 ethernet port is plugged to ethernet ONT ethernet port,False,True,,0,True,True,0.087,docs: add network topology diagram to README,,,,,,,,,
JosunLP/api-faker#2:issue_comment:3702981044,JosunLP/api-faker,2,JosunLP,reviewer,early,@copilot apply changes based on the comments in [this thread](https://github.com/JosunLP/api-faker/pull/2#pullrequestreview-3621438412),True,True,1.15,3,True,True,1152.874,Add installer script and CLI update functionality,JosunLP,@copilot apply changes based on the comments in [this thread](https://github.com/JosunLP/api-faker/pull/2#pullrequestreview-3621530899),JosunLP,@copilot apply changes based on the comments in [this thread](https://github.com/JosunLP/api-faker/pull/2#pullrequestreview-3621573025),JosunLP,@copilot apply changes based on the comments in [this thread](https://github.com/JosunLP/api-faker/pull/2#pullrequestreview-3621624788),,,
JosunLP/api-faker#2:issue_comment:3703056116,JosunLP/api-faker,2,JosunLP,reviewer,early,@copilot apply changes based on the comments in [this thread](https://github.com/JosunLP/api-faker/pull/2#pullrequestreview-3621530899),True,True,2.618,3,True,True,1151.724,Add installer script and CLI update functionality,JosunLP,@copilot apply changes based on the comments in [this thread](https://github.com/JosunLP/api-faker/pull/2#pullrequestreview-3621573025),JosunLP,@copilot apply changes based on the comments in [this thread](https://github.com/JosunLP/api-faker/pull/2#pullrequestreview-3621624788),JosunLP,@copilot apply changes based on the comments in [this thread](https://github.com/JosunLP/api-faker/pull/2#pullrequestreview-3622815204),,,
